time,latitude,longitude,depth,mag,country,
2/15/1979 6:05:00 PM,37.152,-116.0718,0.54,150,USA,54
6/28/1979 2:44:00 PM,37.1432,-116.0875,0.54,150,USA,54
07/02/1971 17:00:01,67.283,63.467,0.54,2.3,Russia,54
7/23/1965 5:00:00 PM,37.0978,-116.033,0.53,200,USA,53
5/26/1970 3:00:00 PM,37.1134,-116.0623,0.53,103,USA,53
07/08/1971 14:00:00,37.1101,-116.0514,0.53,83,USA,53
8/18/1971 2:00:00 PM,37.0572,-116.0363,0.53,200,USA,53
9/27/1977 2:00:00 PM,37.1512,-116.0676,0.53,150,USA,53
8/14/1974 3:00:00 PM,68.903,75.823,0.53,7.6,Russia,53
11/12/1981 15:00:00,37.1082,-116.049,0.52,150,England,52
09/07/1967 13:45:00,37.1532,-116.0528,0.52,200,USA,52
1/15/1969 7:30:00 PM,37.2091,-116.2254,0.52,200,USA,52
6/24/1971 2:00:00 PM,37.1467,-116.0668,0.52,200,USA,52
08/04/1977 16:40:00,37.0866,-116.0069,0.52,150,USA,52
4/24/1964 8:10:00 PM,37.1496,-116.0554,0.51,200,USA,51
5/27/1969 2:15:00 PM,37.0751,-115.9953,0.51,200,USA,51
12/16/1965 7:15:00 PM,37.0726,-116.0291,0.5,200,USA,50
05/10/1967 13:40:00,37.0779,-115.9953,0.5,200,USA,50
12/12/1970 07:01:00,43.85,54.8,0.5,80,Russia,50
08/12/1975 15:00:01,70.763,126.953,0.5,7.6,Russia,50
10/05/1962 17:00:00,37.1394,-116.0503,0.49,115,USA,49
1/16/1964 4:00:00 PM,37.1423,-116.0491,0.49,200,USA,49
2/20/1964 3:30:00 PM,37.1509,-116.0401,0.49,200,USA,49
06/10/1966 14:30:00,37.0594,-116.0388,0.49,20,USA,49
4/18/1968 2:05:00 PM,37.1525,-116.037,0.49,200,USA,49
12/03/1981 15:00:00,37.1484,-116.0708,0.49,150,USA,49
8/20/1972 3:00:00 AM,49.4,48.142,0.49,6.6,Russia,49
9/21/1972 9:00:00 AM,52.118,52.068,0.49,2.3,Russia,49
10/03/1972 09:00:00,46.853,44.938,0.49,6.6,Russia,49
08/10/1977 22:00:00,50.955,110.983,0.49,8.5,Russia,49
7/27/1967 1:00:00 PM,37.1487,-116.0485,0.48,200,USA,48
5/21/1970 2:15:00 PM,37.0708,-116.013,0.48,200,USA,48
12/16/1970 4:00:00 PM,37.1002,-116.0079,0.48,200,USA,48
5/23/1974 1:38:30 PM,37.1245,-116.0789,0.47,200,England,47
08/10/1967 14:10:00,37.1567,-116.0473,0.47,20,USA,47
5/17/1968 1:00:00 PM,37.1201,-116.0588,0.47,200,USA,47
9/17/1968 2:00:00 PM,37.1199,-116.1275,0.47,200,USA,47
6/28/1973 7:15:12 PM,37.1484,-116.0859,0.47,200,USA,47
10/01/1981 19:00:00,37.0816,-116.0088,0.47,150,USA,47
12/23/1970 7:01:00 AM,44.025,54.933,0.47,75,Russia,47
07/10/1971 17:00:01,64.167,55.267,0.47,2.3,Russia,47
07/05/1957 11:40:00,37.1347,-116.0408,0.46,74,USA,46
08/07/1957 12:25:00,37.0867,-116.0236,0.46,19,USA,46
8/23/1957 12:30:00 PM,37.0867,-116.0236,0.46,11,USA,46
9/16/1957 12:50:00 PM,37.0867,-116.0236,0.46,12,USA,46
9/28/1957 1:00:00 PM,37.1347,-116.0408,0.46,12,USA,46
9/29/1958 2:05:00 PM,37.0867,-116.0236,0.46,2,USA,46
10/13/1958 1:20:00 PM,37.0867,-116.0236,0.46,1.4,USA,46
10/22/1958 1:30:00 PM,37.0867,-116.0236,0.46,6,USA,46
10/22/1958 4:50:00 PM,36.7981,-115.9289,0.46,0.115,USA,46
10/26/1958 10:20:00 AM,36.7981,-115.9289,0.46,4.9,USA,46
10/26/1958 4:00:00 PM,37.0867,-116.0236,0.46,2.2,USA,46
10/30/1958 3:00:00 AM,37.0867,-116.0236,0.46,1.3,USA,46
09/10/1965 17:12:00,37.078,-116.0167,0.46,200,England,46
8/29/1979 3:08:00 PM,37.1212,-116.0666,0.46,150,England,46
