latitude,longitude,mag
37.05,-116.03,20.00
37.11,-116.04,200.00
37.00,-115.00,0.00
37.13,-116.04,20.00
37.00,-115.00,0.00
37.20,-116.21,3.10
37.05,-116.04,20.00
37.12,-116.04,20.00
37.00,-115.00,0.00
37.05,-116.02,20.00
37.13,-116.07,20.00
37.04,-116.02,20.00
37.15,-116.08,20.00
37.13,-116.04,40.00
37.16,-116.08,20.00
37.06,-116.02,249.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.04,-116.02,20.00
37.12,-116.03,20.00
37.20,-116.23,200.00
37.00,-116.00,20.00
39.20,-118.38,12.00
37.04,-116.02,20.00
37.13,-116.05,20.00
37.12,-116.05,200.00
37.04,-116.03,40.00
37.13,-116.04,5.30
37.00,-116.00,20.00
37.14,-116.05,200.00
37.13,-116.04,10.50
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.15,-116.04,200.00
37.00,-116.00,20.00
37.05,-116.01,20.00
37.13,-116.03,20.00
37.04,-116.02,20.00
37.00,-116.00,20.00
37.15,-116.06,200.00
37.04,-116.03,20.00
37.00,-116.00,20.00
37.12,-116.04,20.00
37.04,-116.01,20.00
37.15,-116.08,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.11,-116.03,20.00
37.17,-116.06,20.00
37.18,-116.05,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.16,-116.08,4.40
37.07,-116.02,20.00
37.00,-116.00,20.00
37.07,-116.02,20.00
37.02,-116.02,20.00
37.00,-116.00,20.00
37.08,-116.01,20.00
37.15,-116.08,38.00
37.04,-116.02,40.00
31.14,-89.57,5.30
37.00,-116.00,20.00
37.11,-116.03,20.00
37.17,-116.07,12.00
37.13,-116.07,19.00
37.11,-116.05,200.00
37.00,-116.00,40.00
37.03,-116.01,1.30
37.18,-116.07,2.70
37.08,-116.34,0.09
37.12,-116.02,20.00
37.00,-116.00,20.00
37.13,-116.06,20.00
37.16,-116.08,0.33
37.05,-116.02,10.10
36.82,-115.95,20.00
37.00,-116.00,20.00
37.06,-116.04,200.00
37.00,-116.00,20.00
37.15,-116.04,200.00
37.03,-116.02,20.00
37.28,-116.52,4.30
37.01,-116.20,20.00
37.00,-116.00,20.00
37.02,-116.00,20.00
37.14,-116.07,7.00
37.24,-116.43,20.00
36.82,-115.97,0.75
37.06,-116.01,20.00
37.12,-116.03,20.00
37.00,-116.00,20.00
37.04,-116.02,1.30
36.82,-115.96,20.00
37.22,-116.06,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.10,-116.03,200.00
37.02,-116.04,20.00
37.00,-116.00,20.00
37.14,-116.07,20.00
37.02,-116.01,40.00
37.11,-116.03,20.00
51.44,179.18,80.00
37.05,-116.02,20.00
37.00,-116.00,20.00
37.16,-116.05,200.00
37.14,-116.06,20.00
37.07,-116.03,200.00
37.12,-116.03,20.00
37.00,-116.00,20.00
37.09,-116.02,200.00
37.03,-116.02,20.00
37.00,-116.00,20.00
37.13,-116.07,20.00
37.27,-116.43,19.00
37.17,-116.21,20.00
37.04,-116.03,40.00
37.14,-116.05,20.00
37.01,-116.01,20.00
37.11,-116.03,20.00
37.10,-116.02,20.00
37.14,-116.14,20.00
37.02,-115.99,20.00
37.24,-116.43,70.00
37.00,-116.00,1.40
36.89,-115.94,20.00
37.00,-116.00,20.00
37.14,-116.14,20.00
37.05,-116.04,12.00
37.35,-116.32,73.00
37.13,-116.07,20.00
37.09,-116.03,200.00
37.11,-116.06,200.00
37.18,-116.10,22.00
37.23,-116.06,62.00
37.07,-116.04,200.00
37.06,-116.04,20.00
37.01,-116.20,20.00
37.17,-116.05,200.00
37.16,-116.07,25.00
37.32,-116.30,365.00
37.14,-116.10,20.00
37.17,-116.05,20.00
37.00,-116.00,20.00
36.88,-115.95,7.80
37.02,-116.04,20.00
37.17,-116.05,20.00
37.00,-116.00,20.00
37.17,-116.05,20.00
37.13,-116.05,20.00
37.04,-116.01,20.00
37.00,-116.00,20.00
31.14,-89.57,0.38
37.00,-116.00,20.00
36.88,-115.94,20.00
37.30,-116.41,870.00
37.00,-116.00,20.00
37.14,-116.14,39.00
37.10,-116.00,200.00
37.00,-116.00,20.00
37.17,-116.05,20.00
37.02,-116.02,20.00
37.13,-116.07,200.00
37.17,-116.05,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.05,-116.02,20.00
37.02,-116.04,20.00
37.14,-116.06,20.00
37.08,-116.00,200.00
37.13,-116.06,250.00
37.28,-116.37,155.00
37.00,-116.00,20.00
37.25,-116.48,76.00
37.13,-116.03,20.00
37.20,-116.21,20.00
37.03,-116.02,10.00
37.00,-116.00,20.00
37.15,-116.05,200.00
37.00,-116.00,20.00
37.16,-116.05,20.00
37.01,-116.04,20.00
37.00,-116.00,20.00
37.18,-116.21,20.00
37.15,-116.05,200.00
37.00,-116.00,20.00
37.17,-116.04,2.20
37.10,-116.05,200.00
37.12,-116.06,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.03,-116.03,20.00
37.09,-116.04,20.00
37.00,-116.00,20.00
36.68,-107.21,29.00
37.04,-116.00,20.00
37.15,-116.07,7.40
37.16,-116.05,200.00
38.63,-116.22,"1,000.00"
37.00,-116.00,20.00
37.28,-116.51,2.30
37.00,-116.00,20.00
37.00,-116.00,20.00
37.12,-116.05,200.00
37.18,-116.21,20.00
37.00,-116.00,20.00
37.01,-116.37,5.40
37.05,-116.01,1.50
37.33,-116.31,200.00
36.87,-115.93,20.00
37.00,-116.00,20.00
37.15,-116.08,220.00
37.15,-116.04,200.00
37.34,-116.38,20.00
37.30,-116.46,"1,300.00"
37.00,-116.00,20.00
37.00,-116.00,20.00
37.12,-116.06,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.17,-116.04,100.00
37.26,-116.31,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.25,-116.48,200.00
37.00,-116.00,20.00
37.13,-116.08,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
36.88,-115.93,20.00
37.25,-116.35,200.00
37.14,-116.05,200.00
37.03,-116.01,20.00
37.12,-116.13,200.00
37.20,-116.21,20.00
37.00,-116.00,20.00
37.03,-115.99,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.13,-116.09,200.00
37.00,-116.00,20.00
37.03,-116.03,20.00
37.01,-116.21,20.00
37.14,-116.04,20.00
37.34,-116.57,30.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.12,-116.08,120.00
37.23,-116.47,"1,150.00"
37.15,-116.07,10.00
37.21,-116.23,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.05,-116.03,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.17,-116.21,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.02,-116.03,20.00
37.13,-116.09,100.00
37.00,-116.00,40.00
37.08,-116.01,200.00
37.09,-116.01,200.00
37.28,-116.50,200.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.08,-116.00,200.00
37.01,-116.03,20.00
37.00,-116.00,40.00
37.12,-116.06,200.00
37.14,-116.09,200.00
37.16,-116.06,40.00
