time,latitude,longitude,depth,mag,country
6/16/1956 1:13:53 AM,11.5467,162.3608,-0.21,1.7,USA
6/21/1956 12:00:00 AM,11,162,0,15.2,USA
6/25/1956 6:06:00 PM,11.6028,165.4514,NA,1100,USA
07/02/1956 00:00:00,11,162,0,360,USA
07/08/1956 18:06:00,11.6714,162.2003,NA,1850,USA
07/10/1956 17:56:00,11.6633,165.3872,NA,4500,USA
7/20/1956 5:46:00 PM,11.6739,165.3394,NA,5000,USA
7/21/1956 6:16:00 PM,11.6719,162.3692,NA,250,USA
4/24/1957 12:00:00 AM,37,-115,0,0,USA
5/28/1957 11:55:00 AM,37.0947,-116.0236,-0.15,12,USA
06/02/1957 11:55:00,37.0478,-116.0211,-0.09,0.14,USA
06/05/1957 11:45:00,37.1347,-116.0408,-0.15,5.00E-04,USA
6/18/1957 11:45:00 AM,37.1347,-116.0408,-0.15,10,USA
6/24/1957 1:30:00 PM,37.7981,-115.9289,-0.21,37,USA
07/01/1957 00:00:00,37,-116,0,0,USA
07/05/1957 11:40:00,37.1347,-116.0408,-0.46,74,USA
7/15/1957 11:30:00 AM,37.1503,-116.1086,-0.15,17,USA
7/19/1957 2:00:05 PM,37.1606,-116.0531,-9.14,2,USA
7/24/1957 11:50:00 AM,37.0833,-116.1,-0.15,10,USA
7/25/1957 1:30:00 PM,37.1347,-116.0408,-0.15,9.7,USA
7/26/1957 8:00:00 AM,37.0518,-116.0334,0.15,20,USA
08/07/1957 12:25:00,37.0867,-116.0236,-0.46,19,USA
08/10/1957 00:59:55,37.1939,-116.0333,NA,0,USA
8/18/1957 12:00:00 PM,37.128,-116.1064,-0.15,17,USA
8/23/1957 12:30:00 PM,37.0867,-116.0236,-0.46,11,USA
8/27/1957 10:35:00 PM,37.0491,-116.034,0.15,20,USA
8/30/1957 12:40:00 PM,37.0867,-116.0236,-0.23,4.7,USA
8/31/1957 12:30:00 PM,37.1872,-116.0678,-0.21,44,USA
09/02/1957 12:40:00,37.0531,-116.1025,-0.15,11,USA
